Fecha,Liga,Equipo1,Equipo2,Resultado
"LUNES, 13 NOVIEMBRE 2023",LIGA MX - APERTURA,LEÓN,FC JUÁREZ,2 - 1
"LUNES, 13 NOVIEMBRE 2023",CLAUSURA COLOMBIA - PLAY OFFS,AMÉRICA,INDEPENDIEN,1 - 2
"LUNES, 13 NOVIEMBRE 2023",PRIMERA DIVISIÓN,ATLÉTICO,VILLARREAL,3 - 1
"DOMINGO, 12 NOVIEMBRE 2023",PRIMERA DIVISIÓN,BARCELONA,DEPORTIVO,2 - 1
"DOMINGO, 12 NOVIEMBRE 2023",PREMIER LEAGUE,CHELSEA,MANCHESTER,4 - 4
"DOMINGO, 12 NOVIEMBRE 2023",PRIMERA DIVISIÓN,SEVILLA,REAL BETIS,1 - 1
"DOMINGO, 12 NOVIEMBRE 2023",PRIMERA DIVISIÓN,ATLÉTICO,VILLARREAL,3 - 1
"DOMINGO, 12 NOVIEMBRE 2023",PREMIER LEAGUE,LIVERPOOL,BRENTFORD,3 - 0
"DOMINGO, 12 NOVIEMBRE 2023",PREMIER LEAGUE,BRIGHTON,SHEFFIELD,1 - 1
"DOMINGO, 12 NOVIEMBRE 2023",PREMIER LEAGUE,WEST HAM,NOTTINGHAM,3 - 2
"DOMINGO, 12 NOVIEMBRE 2023",PREMIER LEAGUE,ASTON VILLA,FULHAM,3 - 1
"SÁBADO, 11 NOVIEMBRE 2023",PRIMERA DIVISIÓN,REAL MADRID,VALENCIA,5 - 1
"SÁBADO, 11 NOVIEMBRE 2023",PRIMERA DIVISIÓN,RAYO,GIRONA,1 - 2
"SÁBADO, 11 NOVIEMBRE 2023",PRIMERA DIVISIÓN,ALMERÍA,REAL,1 - 3
"SÁBADO, 11 NOVIEMBRE 2023",PREMIER LEAGUE,WOLVES,TOTTENHAM,2 - 1
"SÁBADO, 11 NOVIEMBRE 2023",PREMIER LEAGUE,BOURNEMOUTH,NEWCASTLE,2 - 0
"SÁBADO, 11 NOVIEMBRE 2023",PRIMERA DIVISIÓN,OSASUNA,LAS PALMAS,1 - 1
"SÁBADO, 11 NOVIEMBRE 2023",PRIMERA DIVISIÓN,GRANADA,GETAFE,1 - 1
"SÁBADO, 11 NOVIEMBRE 2023",PREMIER LEAGUE,MANCHESTER,LUTON TOWN,1 - 0
"VIERNES, 10 NOVIEMBRE 2023",PRIMERA DIVISIÓN,ATHLETIC,CELTA,4 - 3
"VIERNES, 10 NOVIEMBRE 2023",SERIE A,SASSUOLO,SALERNITANA,2 - 2
"VIERNES, 10 NOVIEMBRE 2023",SEGUNDA DIVISIÓN,LEGANÉS,LEVANTE,2 - 1
"VIERNES, 10 NOVIEMBRE 2023",SERIE A,GENOA,HELLAS,1 - 0
"VIERNES, 10 NOVIEMBRE 2023",BUNDESLIGA,MÖNCHENGLA,WOLFSBURG,4 - 0
